Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Inductor,0.001,0,1.27747,0.883902
Silicon,0.001,0,55.0782,1.4597
Capacitor,0.001,0,0.538399,0.519653
Feedline,0.001,0,3.09186,1.10825
Mount,0.001,0,0,0
Inductor,0.003,0,0.95732,0.895894
Silicon,0.003,0,57.0746,1.36202
Capacitor,0.003,0,0.248105,0.401755
Feedline,0.003,0,1.71307,0.978459
Mount,0.003,0,0,0
Inductor,0.005,0,1.1281,0.928731
Silicon,0.005,0,57.2817,1.3328
Capacitor,0.005,0,0.421849,0.621414
Feedline,0.005,0,1.163,0.78159
Mount,0.005,0,0,0
Inductor,0.007,0,1.04673,0.923022
Silicon,0.007,0,57.4587,1.40149
Capacitor,0.007,0,0.301747,0.523094
Feedline,0.007,0,1.1886,1.15881
Mount,0.007,0,0,0
Inductor,0.009,0,0.707102,0.793249
Silicon,0.009,0,58.2197,1.13597
Capacitor,0.009,0,0.136111,0.348135
Feedline,0.009,0,0.933304,0.688987
Mount,0.009,0,0,0
Inductor,0.011,0,0.791384,0.837083
Silicon,0.011,0,58.1883,1.21674
Capacitor,0.011,0,0.265865,0.466216
Feedline,0.011,0,0.75072,0.703783
Mount,0.011,0,0,0
Inductor,0.001,0.02,1.43333,0.914567
Silicon,0.001,0.02,51.7606,1.62315
Capacitor,0.001,0.02,0.52313,0.516526
Feedline,0.001,0.02,3.13477,1.13081
Mount,0.001,0.02,3.13757,1.1442
Inductor,0.003,0.02,1.18964,1.08969
Silicon,0.003,0.02,56.1169,1.56692
Capacitor,0.003,0.02,0.28992,0.479199
Feedline,0.003,0.02,1.44591,0.895979
Mount,0.003,0.02,0.951565,0.55778
Inductor,0.005,0.02,1.02073,0.753978
Silicon,0.005,0.02,56.7872,1.32827
Capacitor,0.005,0.02,0.179946,0.330022
Feedline,0.005,0.02,1.37011,0.854583
Mount,0.005,0.02,0.634008,0.535702
Inductor,0.007,0.02,0.628954,0.732523
Silicon,0.007,0.02,57.7918,1.26403
Capacitor,0.007,0.02,0.353608,0.474394
Feedline,0.007,0.02,0.931399,0.841316
Mount,0.007,0.02,0.293009,0.323903
Inductor,0.009,0.02,0.785594,0.861092
Silicon,0.009,0.02,57.8327,1.19243
Capacitor,0.009,0.02,0.151822,0.284104
Feedline,0.009,0.02,0.990322,0.783939
Mount,0.009,0.02,0.235683,0.273866
Inductor,0.011,0.02,0.768115,0.772776
Silicon,0.011,0.02,58.0341,1.12648
Capacitor,0.011,0.02,0.165479,0.349744
Feedline,0.011,0.02,0.91288,0.843207
Mount,0.011,0.02,0.11872,0.179233
Inductor,0.001,0.04,1.11513,0.785207
Silicon,0.001,0.04,49.6863,1.79842
Capacitor,0.001,0.04,0.486387,0.566542
Feedline,0.001,0.04,2.82785,1.37301
Mount,0.001,0.04,5.87377,1.16577
Inductor,0.003,0.04,1.00552,0.74963
Silicon,0.003,0.04,55.3699,1.53082
Capacitor,0.003,0.04,0.358838,0.489349
Feedline,0.003,0.04,1.55017,0.937568
Mount,0.003,0.04,1.70984,0.792947
Inductor,0.005,0.04,0.964982,1.09454
Silicon,0.005,0.04,56.7219,1.51253
Capacitor,0.005,0.04,0.289358,0.537828
Feedline,0.005,0.04,1.15263,0.822794
Mount,0.005,0.04,0.865951,0.485681
Inductor,0.007,0.04,0.843652,0.784524
Silicon,0.007,0.04,57.2049,1.33251
Capacitor,0.007,0.04,0.20698,0.343302
Feedline,0.007,0.04,1.19653,0.862928
Mount,0.007,0.04,0.546492,0.424531
Inductor,0.009,0.04,0.957422,1.03301
Silicon,0.009,0.04,57.5386,1.55457
Capacitor,0.009,0.04,0.200572,0.394962
Feedline,0.009,0.04,0.890448,0.888174
Mount,0.009,0.04,0.411886,0.401113
Inductor,0.011,0.04,0.668223,0.719073
Silicon,0.011,0.04,57.9273,1.44883
Capacitor,0.011,0.04,0.173904,0.418362
Feedline,0.011,0.04,0.889431,0.912104
Mount,0.011,0.04,0.338387,0.36352
Inductor,0.001,0.06,1.47822,0.921391
Silicon,0.001,0.06,47.3437,1.99912
Capacitor,0.001,0.06,0.414966,0.469727
Feedline,0.001,0.06,2.95172,1.2122
Mount,0.001,0.06,7.80105,1.4221
Inductor,0.003,0.06,0.944304,0.833292
Silicon,0.003,0.06,54.4796,1.44126
Capacitor,0.003,0.06,0.349775,0.372766
Feedline,0.003,0.06,1.9359,1.13483
Mount,0.003,0.06,2.28245,0.851072
Inductor,0.005,0.06,0.893628,0.83596
Silicon,0.005,0.06,56.4236,1.63685
Capacitor,0.005,0.06,0.215235,0.390327
Feedline,0.005,0.06,1.19555,0.997343
Mount,0.005,0.06,1.26785,0.783698
Inductor,0.007,0.06,1.12771,0.89743
Silicon,0.007,0.06,56.9275,1.49146
Capacitor,0.007,0.06,0.113601,0.287939
Feedline,0.007,0.06,1.13007,0.751633
Mount,0.007,0.06,0.698282,0.564949
Inductor,0.009,0.06,0.901096,0.987133
Silicon,0.009,0.06,56.9391,1.68514
Capacitor,0.009,0.06,0.399196,0.518816
Feedline,0.009,0.06,1.19713,1.15214
Mount,0.009,0.06,0.561509,0.512083
Inductor,0.011,0.06,0.756835,0.7614
Silicon,0.011,0.06,57.7188,1.35109
Capacitor,0.011,0.06,0.216466,0.382143
Feedline,0.011,0.06,0.943416,0.939049
Mount,0.011,0.06,0.361032,0.390616
Inductor,0.001,0.08,1.35128,0.981147
Silicon,0.001,0.08,45.7401,2.12482
Capacitor,0.001,0.08,0.473511,0.443184
Feedline,0.001,0.08,2.58644,0.903138
Mount,0.001,0.08,9.83405,1.6717
Inductor,0.003,0.08,0.954955,0.801185
Silicon,0.003,0.08,53.9972,1.46112
Capacitor,0.003,0.08,0.360774,0.44465
Feedline,0.003,0.08,1.6067,0.869468
Mount,0.003,0.08,3.07337,0.959525
Inductor,0.005,0.08,0.851456,1.00236
Silicon,0.005,0.08,55.9213,1.39951
Capacitor,0.005,0.08,0.331305,0.474237
Feedline,0.005,0.08,1.20458,0.829172
Mount,0.005,0.08,1.6898,0.606447
Inductor,0.007,0.08,0.747377,0.718501
Silicon,0.007,0.08,56.7937,1.15944
Capacitor,0.007,0.08,0.202115,0.338712
Feedline,0.007,0.08,1.2062,0.854227
Mount,0.007,0.08,1.04843,0.682419
Inductor,0.009,0.08,0.783739,0.9763
Silicon,0.009,0.08,57.2954,1.42031
Capacitor,0.009,0.08,0.211098,0.387996
Feedline,0.009,0.08,1.06979,0.873413
Mount,0.009,0.08,0.637878,0.495556
Inductor,0.011,0.08,0.909179,0.926299
Silicon,0.011,0.08,57.2437,1.54108
Capacitor,0.011,0.08,0.136737,0.317
Feedline,0.011,0.08,1.2228,1.00406
Mount,0.011,0.08,0.485942,0.535199
Inductor,0.001,0.1,1.31832,1.08312
Silicon,0.001,0.1,43.8339,2.07778
Capacitor,0.001,0.1,0.451283,0.514179
Feedline,0.001,0.1,2.78004,1.09095
Mount,0.001,0.1,11.6052,1.82182
Inductor,0.003,0.1,1.16615,1.05047
Silicon,0.003,0.1,53.3523,1.76432
Capacitor,0.003,0.1,0.438615,0.476342
Feedline,0.003,0.1,1.28217,0.834438
Mount,0.003,0.1,3.75896,1.16814
Inductor,0.005,0.1,1.03267,0.912824
Silicon,0.005,0.1,55.4178,1.3926
Capacitor,0.005,0.1,0.333692,0.493521
Feedline,0.005,0.1,1.17127,0.84213
Mount,0.005,0.1,2.03935,0.791656
Inductor,0.007,0.1,0.862794,0.9058
Silicon,0.007,0.1,56.5069,1.49314
Capacitor,0.007,0.1,0.18531,0.36522
Feedline,0.007,0.1,1.17065,1.04278
Mount,0.007,0.1,1.27167,0.771953
Inductor,0.009,0.1,0.654644,0.793627
Silicon,0.009,0.1,57.2542,1.33324
Capacitor,0.009,0.1,0.186042,0.317874
Feedline,0.009,0.1,1.01833,0.848263
Mount,0.009,0.1,0.885341,0.469959
Inductor,0.011,0.1,0.881318,0.944555
Silicon,0.011,0.1,57.2709,1.24404
Capacitor,0.011,0.1,0.268406,0.422739
Feedline,0.011,0.1,0.898796,0.81354
Mount,0.011,0.1,0.677141,0.597702
Inductor,0.001,0.12,1.17678,0.930767
Silicon,0.001,0.12,42.6686,1.92013
Capacitor,0.001,0.12,0.547622,0.551329
Feedline,0.001,0.12,2.53993,1.0506
Mount,0.001,0.12,13.0527,1.73445
Inductor,0.003,0.12,0.881179,0.714442
Silicon,0.003,0.12,52.631,1.96604
Capacitor,0.003,0.12,0.439826,0.48592
Feedline,0.003,0.12,1.64756,1.11938
Mount,0.003,0.12,4.39592,1.12806
Inductor,0.005,0.12,1.07374,0.918759
Silicon,0.005,0.12,55.1322,1.21772
Capacitor,0.005,0.12,0.346473,0.423823
Feedline,0.005,0.12,1.18479,0.880562
Mount,0.005,0.12,2.2608,0.78781
Inductor,0.007,0.12,1.01936,0.96025
Silicon,0.007,0.12,56.3281,1.41657
